PLOD,i,j,mtDNA
33.45651891,964,164,M
42.25774441,1327,840,M
49.7830967,896,466,M
55.97847548,1351,757,M
63.72646479,1422,1223,M
74.12901408,510,229,M
82.96931334,293,201,M
83.40538891,1474,1112,M
